"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"77";"DEP";"_T";"_T";"POP";"PROV";2023;1461552
"07";"DEP";"_T";"_T";"POP";"PROV";2023;334451
"62";"DEP";"_T";"_T";"POP";"PROV";2023;1456673
"95";"DEP";"_T";"_T";"POP";"PROV";2023;1277071
"66";"DEP";"_T";"_T";"POP";"PROV";2023;496280
"29";"DEP";"_T";"_T";"POP";"PROV";2024;933628
"93";"DEP";"_T";"_T";"POP";"PROV";2024;1702158
"23";"DEP";"_T";"_T";"POP";"PROV";2024;114600
"40";"DEP";"_T";"_T";"POP";"PROV";2024;436872
"62";"DEP";"_T";"_T";"POP";"PROV";2024;1453532
"08";"DEP";"_T";"_T";"POP";"PROV";2024;264556
"44";"DEP";"_T";"_T";"POP";"PROV";2024;1498959
"59";"DEP";"_T";"_T";"POP";"PROV";2024;2616167
"15";"DEP";"_T";"_T";"POP";"PROV";2024;143964
"46";"DEP";"_T";"_T";"POP";"PROV";2024;176103
"68";"DEP";"_T";"_T";"POP";"PROV";2024;766549
"06";"DEP";"_T";"_T";"POP";"PROV";2024;1124992
"70";"DEP";"_T";"_T";"POP";"PROV";2024;232626
"21";"DEP";"_T";"_T";"POP";"PROV";2024;538508
"81";"DEP";"_T";"_T";"POP";"PROV";2024;399634
"24";"DEP";"_T";"_T";"POP";"PROV";2024;417397
"34";"DEP";"_T";"_T";"POP";"PROV";2024;1241541
"56";"DEP";"_T";"_T";"POP";"PROV";2024;785243
"73";"DEP";"_T";"_T";"POP";"PROV";2024;450451
"87";"DEP";"_T";"_T";"POP";"PROV";2024;371847
"54";"DEP";"_T";"_T";"POP";"PROV";2024;730498
"974";"DEP";"_T";"_T";"POP";"PROV";2024;892102
"83";"DEP";"_T";"_T";"POP";"PROV";2024;1126788
"82";"DEP";"_T";"_T";"POP";"PROV";2024;267035
"14";"DEP";"_T";"_T";"POP";"PROV";2024;709128
"976";"DEP";"_T";"_T";"POP";"PROV";2024;320282
"03";"DEP";"_T";"_T";"POP";"PROV";2024;333234
"2A";"DEP";"_T";"_T";"POP";"PROV";2024;170513
"71";"DEP";"_T";"_T";"POP";"PROV";2024;546754
"90";"DEP";"_T";"_T";"POP";"PROV";2024;138987
"07";"DEP";"_T";"_T";"POP";"PROV";2024;335833
"35";"DEP";"_T";"_T";"POP";"PROV";2024;1126416
